Name,Cuisine,Location,Rating,Price,City,Page
Exotica,"Banjara Hills, Hyderabad",View All(2) Outlets,4.202,1500.0,hyderabad,1
"Banjara Hills, Hyderabad",View All(2) Outlets,Multicuisine,4.202,1500.0,hyderabad,1
The Bun-Wigi,"Banjara Hills, Hyderabad","European, Pan Asian, Continental",4.202,800.0,hyderabad,1
"Banjara Hills, Hyderabad","European, Pan Asian, Continental",₹800 for two,4.202,800.0,hyderabad,1
Fuel Cafe,"Banjara Hills, Hyderabad",Cafe,4.202,800.0,hyderabad,1
"Banjara Hills, Hyderabad",Cafe,₹800 for two,4.202,800.0,hyderabad,1
7 Sisters,"Banjara Hills, Hyderabad",View All(4) Outlets,4.202,700.0,hyderabad,1
"Banjara Hills, Hyderabad",View All(4) Outlets,North Eastern,4.202,700.0,hyderabad,1
Habitat Cafe,"Banjara Hills, Hyderabad",Multicuisine,4.202,1200.0,hyderabad,1
"Banjara Hills, Hyderabad",Multicuisine,₹1200 for two,4.202,1200.0,hyderabad,1
A'La Liberty,"Banjara Hills, Hyderabad","Indian, European",4.202,1300.0,hyderabad,1
"Banjara Hills, Hyderabad","Indian, European",₹1300 for two,4.202,1300.0,hyderabad,1
Hibacci,"Banjara Hills, Hyderabad",Multicuisine,4.202,1250.0,hyderabad,1
"Banjara Hills, Hyderabad",Multicuisine,₹1250 for two,4.202,1250.0,hyderabad,1
Namchi - Fusion Of Taste Buds,"Banjara Hills, Hyderabad",Indian,4.202,1000.0,hyderabad,1
"Banjara Hills, Hyderabad",Indian,₹1000 for two,4.202,1000.0,hyderabad,1
Amyra Cafe & Kitchen,"Banjara Hills, Hyderabad",North Indian,4.202,700.0,hyderabad,1
"Banjara Hills, Hyderabad",North Indian,₹700 for two,4.202,700.0,hyderabad,1
North Indian Restaurants Near Me,Chinese Restaurants Near Me,European Restaurants Near Me,4.202,1200.0,hyderabad,1
Ta.Ma.Sha. Veg Cafe Gunrock,"Secunderabad, Hyderabad",The Mandi Nation,4.202,1200.0,hyderabad,1
Barbeque Nation,16 Outlets,AB's - Absolute Barbecues,4.202,1200.0,hyderabad,1
Bar 41,"Radisson Blu Plaza Hotel, Hyderabad","Finger Food, Cocktail Menu",4.202,2000.0,hyderabad,2
"Radisson Blu Plaza Hotel, Hyderabad","Finger Food, Cocktail Menu",₹2000 for two,4.202,2000.0,hyderabad,2
Ohri's Eatmor,"Banjara Hills, Hyderabad",View All(5) Outlets,4.202,1200.0,hyderabad,2
